TransactionId,UserId,VisitYear,VisitMonth,VisitMode,AttractionId,Rating,Continent,Country_x,City_x,City_y,Country_y,AttractionType,Attraction,AttractionAddress,VisitSeason,UserAverageRating,AttractionAverageRating
1,405,2023,4,Couples,74,2.8,Asia,Japan,Osaka,Sydney,Australia,Historical Site,Sydney Historical Site 74,"Main Road, Sydney",Spring,3.825,4.0487179487179485
2,583,2022,3,Business,4,2.6,North America,USA,Las Vegas,Buenos Aires,Argentina,Temple,Buenos Aires Temple 4,"Main Road, Buenos Aires",Spring,3.9333333333333336,3.96
3,336,2024,4,Family,58,4.9,Europe,Germany,Berlin,Mumbai,India,Wildlife,Mumbai Wildlife 58,"Main Road, Mumbai",Spring,3.7000000000000006,3.7518518518518515
4,594,2024,12,Friends,19,4.5,Europe,Germany,Berlin,Auckland,New Zealand,Park,Auckland Park 19,"Main Road, Auckland",Winter,3.6999999999999997,3.689583333333333
5,817,2023,3,Business,63,4.6,South America,Brazil,Rio de Janeiro,Madrid,Spain,Shopping,Madrid Shopping 63,"Main Road, Madrid",Spring,4.066666666666666,3.8245283018867924
6,998,2025,3,Family,31,3.3,North America,USA,Los Angeles,Queenstown,New Zealand,Historical Site,Queenstown Historical Site 31,"Main Road, Queenstown",Spring,3.84,3.663157894736842
7,740,2024,1,Family,94,3.7,Africa,Kenya,Mombasa,Melbourne,Australia,Temple,Melbourne Temple 94,"Main Road, Melbourne",Winter,3.857142857142857,3.6732142857142853
8,763,2024,11,Friends,92,3.7,North America,USA,Las Vegas,Queenstown,New Zealand,Museum,Queenstown Museum 92,"Main Road, Queenstown",Autumn,3.533333333333333,4.0339285714285715
9,118,2022,1,Family,45,2.9,Australia,New Zealand,Auckland,Cairo,Egypt,Park,Cairo Park 45,"Main Road, Cairo",Winter,3.4199999999999995,3.852830188679245
10,399,2024,12,Couples,70,3.8,North America,Mexico,Mexico City,Sydney,Australia,Beach,Sydney Beach 70,"Main Road, Sydney",Winter,3.5500000000000003,3.7588235294117647
11,137,2025,5,Couples,90,2.8,North America,Mexico,Mexico City,Nice,France,Temple,Nice Temple 90,"Main Road, Nice",Spring,3.5499999999999994,3.7215686274509805
12,973,2023,6,Couples,94,3.0,Africa,Kenya,Nairobi,Melbourne,Australia,Temple,Melbourne Temple 94,"Main Road, Melbourne",Summer,3.4857142857142853,3.6732142857142853
13,849,2022,3,Couples,51,4.5,Africa,Kenya,Nairobi,Mexico City,Mexico,Temple,Mexico City Temple 51,"Main Road, Mexico City",Spring,3.9,3.861290322580645
14,349,2022,4,Friends,64,3.7,South America,Brazil,Rio de Janeiro,Madrid,Spain,Beach,Madrid Beach 64,"Main Road, Madrid",Spring,3.6833333333333336,3.8058823529411763
15,74,2022,4,Business,64,3.9,North America,Canada,Toronto,Madrid,Spain,Beach,Madrid Beach 64,"Main Road, Madrid",Spring,3.822222222222222,3.8058823529411763
16,931,2025,9,Business,1,3.5,Australia,Australia,Sydney,Berlin,Germany,Wildlife,Berlin Wildlife 1,"Main Road, Berlin",Autumn,3.9666666666666663,3.782051282051282
17,809,2023,12,Business,54,4.3,Australia,New Zealand,Auckland,Rio de Janeiro,Brazil,Shopping,Rio de Janeiro Shopping 54,"Main Road, Rio de Janeiro",Winter,3.516666666666667,3.7326086956521736
18,985,2022,8,Business,36,3.7,Australia,New Zealand,Queenstown,Singapore,Singapore,Beach,Singapore Beach 36,"Main Road, Singapore",Summer,3.811111111111111,3.7410714285714284
19,414,2025,7,Couples,86,3.6,Africa,South Africa,Cape Town,Cape Town,South Africa,Historical Site,Cape Town Historical Site 86,"Main Road, Cape Town",Summer,3.8375000000000004,3.6799999999999997
20,848,2023,10,Friends,16,4.1,Europe,France,Paris,Sao Paulo,Brazil,Historical Site,Sao Paulo Historical Site 16,"Main Road, Sao Paulo",Autumn,3.7714285714285714,3.932758620689655
21,582,2022,4,Business,44,3.9,Australia,New Zealand,Queenstown,Rio de Janeiro,Brazil,Temple,Rio de Janeiro Temple 44,"Main Road, Rio de Janeiro",Spring,3.8333333333333335,3.825
22,929,2024,6,Solo,91,3.0,South America,Chile,Santiago,Singapore,Singapore,Historical Site,Singapore Historical Site 91,"Main Road, Singapore",Summer,3.85,3.924137931034483
