TransactionId,UserId,VisitYear,VisitMonth,VisitMode,AttractionId,Rating
1,405,2023,4,Couples,74,2.8
2,583,2022,3,Business,4,2.6
3,336,2024,4,Family,58,4.9
4,594,2024,12,Friends,19,4.5
5,817,2023,3,Business,63,4.6
6,998,2025,3,Family,31,3.3
7,740,2024,1,Family,94,3.7
8,763,2024,11,Friends,92,3.7
9,118,2022,1,Family,45,2.9
10,399,2024,12,Couples,70,3.8
11,137,2025,5,Couples,90,2.8
12,973,2023,6,Couples,94,3.0
13,849,2022,3,Couples,51,4.5
14,349,2022,4,Friends,64,3.7
15,74,2022,4,Business,64,3.9
16,931,2025,9,Business,1,3.5
17,809,2023,12,Business,54,4.3
18,985,2022,8,Business,36,3.7
19,414,2025,7,Couples,86,3.6
20,848,2023,10,Friends,16,4.1
21,582,2022,4,Business,44,3.9
22,929,2024,6,Solo,91,3.0
23,978,2025,11,Solo,32,4.3
24,426,2025,8,Couples,26,3.9
25,313,2023,5,Couples,37,3.0
26,984,2024,3,Solo,49,4.2
27,384,2022,9,Business,12,3.4
28,327,2024,1,Family,86,4.9
29,573,2023,12,Friends,61,3.9
30,529,2023,6,Friends,98,3.5
31,842,2022,2,Friends,85,3.7
32,144,2022,7,Family,51,3.7
33,344,2023,12,Couples,40,2.3
34,277,2023,4,Friends,20,3.8
35,214,2025,8,Solo,15,3.6
36,58,2023,1,Business,28,2.7
37,921,2025,12,Family,3,3.1
38,436,2022,11,Couples,23,3.8
39,915,2024,11,Couples,69,2.5
40,476,2025,5,Family,41,3.9
41,567,2024,8,Family,9,5.0
42,386,2025,3,Couples,7,2.5
43,283,2023,1,Family,40,3.7
44,928,2024,5,Family,48,3.6
45,966,2025,9,Friends,19,4.2
46,575,2023,2,Couples,21,3.8
47,102,2024,7,Business,95,3.4
48,196,2025,2,Couples,25,4.0
49,645,2022,12,Solo,99,3.9
50,211,2025,9,Family,60,4.7
51,943,2022,8,Family,73,3.5
52,986,2025,8,Business,21,4.5
53,417,2024,4,Solo,85,3.3
54,75,2024,6,Friends,57,4.2
55,620,2023,11,Family,11,4.1
56,66,2025,8,Business,99,3.2
57,935,2022,4,Couples,70,3.4
58,191,2025,10,Family,67,4.3
59,806,2024,5,Business,15,4.5
60,654,2025,1,Friends,100,2.9
61,867,2024,2,Friends,77,3.5
62,558,2023,4,Couples,38,3.0
63,702,2024,11,Family,35,3.6
64,944,2023,3,Friends,83,4.1
65,275,2025,4,Solo,73,4.5
66,636,2024,4,Business,19,5.0
67,934,2022,4,Business,53,2.5
68,203,2024,9,Couples,53,3.6
69,222,2025,11,Solo,41,4.1
70,622,2022,8,Couples,86,4.4
71,695,2022,1,Couples,16,2.7
72,494,2022,5,Business,50,3.5
73,276,2025,1,Friends,67,3.4
74,35,2023,8,Solo,81,3.8
75,8,2024,8,Couples,45,4.8
76,873,2023,4,Family,19,3.6
77,232,2024,6,Family,21,3.1
78,455,2025,4,Couples,92,4.3
79,941,2023,12,Solo,67,4.8
80,769,2024,6,Business,72,4.2
81,665,2022,12,Family,82,3.7
82,362,2022,1,Family,65,4.0
83,142,2025,4,Couples,35,3.7
84,302,2025,11,Friends,62,3.8
85,865,2024,5,Family,90,3.5
86,822,2025,5,Couples,9,2.9
87,529,2022,3,Solo,88,3.5
88,704,2023,3,Family,11,3.8
89,127,2022,1,Couples,46,4.2
90,957,2022,1,Friends,12,4.0
91,103,2023,5,Business,92,3.5
92,431,2022,4,Friends,87,3.9
93,962,2023,1,Family,68,3.2
94,412,2025,1,Business,40,3.6
95,378,2022,7,Family,15,4.7
96,819,2022,10,Family,75,4.7
97,563,2022,7,Solo,73,3.4
98,514,2023,3,Family,93,4.1
99,296,2022,9,Family,2,3.7
100,813,2023,5,Business,79,2.5
101,49,2022,7,Friends,95,3.7
102,107,2025,3,Business,18,3.3
103,73,2023,10,Family,53,3.4
104,195,2025,9,Family,28,2.9
105,360,2025,10,Couples,75,3.7
106,920,2023,8,Couples,39,3.6
107,7,2022,8,Friends,68,3.7
108,202,2023,12,Business,60,4.1
109,479,2023,11,Couples,91,4.5
110,930,2025,8,Solo,48,4.9
111,833,2025,1,Business,31,3.5
112,443,2024,4,Business,67,3.8
113,430,2024,10,Couples,64,3.2
114,245,2023,5,Friends,30,3.5
115,549,2025,5,Family,42,3.9
116,201,2022,11,Solo,29,3.8
117,500,2022,6,Family,17,3.9
118,674,2022,11,Friends,86,3.0
119,899,2023,3,Couples,42,5.0
120,533,2024,7,Family,44,3.9
121,385,2024,8,Solo,92,4.0
122,996,2022,1,Friends,51,3.5
123,850,2022,8,Family,86,3.5
124,284,2022,5,Family,5,2.9
125,659,2024,5,Family,64,3.4
126,246,2023,11,Family,21,2.3
127,517,2025,4,Family,81,3.8
128,620,2025,6,Family,52,4.3
129,762,2023,11,Couples,100,3.4
130,715,2022,3,Family,64,4.8
131,691,2023,11,Family,53,4.2
132,772,2022,3,Couples,7,4.3
133,329,2025,1,Family,72,3.1
134,575,2024,11,Business,38,3.2
135,943,2024,7,Business,61,5.0
136,683,2023,10,Business,67,3.6
137,126,2025,12,Friends,21,3.2
138,57,2024,3,Solo,94,3.3
139,264,2022,8,Couples,26,4.2
140,549,2025,8,Friends,13,4.3
141,128,2024,1,Friends,73,3.3
142,265,2023,4,Family,34,3.9
143,358,2024,8,Business,75,2.5
144,936,2024,2,Friends,17,3.9
145,656,2023,2,Friends,60,3.0
146,290,2024,8,Couples,39,4.2
147,632,2024,6,Couples,55,2.7
148,233,2022,5,Couples,30,3.7
149,787,2022,6,Couples,57,4.3
150,74,2025,8,Family,10,4.1
151,660,2023,2,Friends,32,4.1
152,22,2024,4,Business,30,4.2
153,471,2023,12,Family,8,3.3
154,354,2022,12,Family,75,3.5
155,441,2022,10,Friends,95,4.3
156,209,2025,2,Family,87,4.9
157,390,2025,9,Business,69,3.9
158,674,2025,4,Solo,44,3.1
159,819,2024,1,Couples,13,3.9
160,401,2024,10,Family,58,4.1
161,828,2022,8,Friends,91,3.5
162,235,2022,1,Couples,13,3.4
163,523,2025,9,Couples,17,3.9
164,652,2023,1,Couples,37,3.6
165,304,2025,9,Family,28,4.0
166,227,2022,2,Family,71,3.2
167,100,2023,9,Friends,31,4.5
168,993,2022,7,Family,100,3.7
169,162,2025,8,Friends,9,3.2
170,940,2025,8,Family,21,4.6
171,65,2022,12,Business,100,4.5
172,54,2022,12,Business,10,4.2
173,586,2022,5,Solo,46,4.2
174,398,2024,9,Friends,10,4.4
175,614,2025,6,Couples,17,4.2
176,378,2023,6,Friends,60,4.1
177,119,2025,1,Family,28,3.6
178,134,2025,5,Couples,7,3.9
179,55,2024,4,Family,58,5.0
180,373,2022,7,Solo,100,5.0
181,307,2025,11,Friends,73,2.7
182,45,2024,4,Solo,86,4.4
183,925,2023,2,Family,29,3.7
184,218,2023,8,Solo,4,5.0
185,645,2025,4,Family,56,2.9
186,492,2023,9,Family,71,3.4
187,394,2024,11,Solo,45,4.4
188,863,2024,11,Friends,28,3.8
189,687,2023,8,Friends,52,3.3
190,686,2022,2,Business,26,3.8
191,820,2025,6,Family,75,4.5
192,736,2023,5,Solo,61,3.3
193,390,2023,6,Friends,38,2.9
194,223,2024,6,Family,94,3.9
195,428,2022,11,Friends,33,3.5
196,582,2025,4,Solo,41,4.2
197,560,2025,11,Solo,56,2.7
198,601,2024,7,Business,18,4.1
199,886,2023,6,Couples,82,4.1
200,247,2022,10,Family,8,3.8
201,352,2024,1,Family,100,4.2
202,44,2022,10,Friends,9,4.1
203,988,2023,11,Business,28,3.5
204,567,2025,11,Couples,72,4.1
205,155,2024,12,Friends,93,3.5
206,760,2023,3,Family,27,3.3
207,601,2024,1,Family,93,3.7
208,858,2022,2,Solo,78,3.3
209,861,2022,11,Family,84,3.2
210,193,2023,2,Friends,17,4.3
211,937,2025,5,Friends,93,2.4
212,588,2024,3,Business,26,5.0
213,199,2024,7,Friends,47,4.8
214,791,2024,2,Couples,84,3.4
215,221,2022,3,Family,8,3.9
216,475,2023,3,Family,68,3.6
217,707,2024,8,Business,24,4.4
218,536,2024,2,Solo,4,4.3
219,471,2025,4,Family,53,4.3
220,357,2023,8,Couples,57,2.0
221,934,2022,4,Couples,85,4.7
222,965,2024,10,Couples,13,4.4
223,702,2025,11,Couples,25,3.5
224,47,2024,8,Friends,100,3.2
225,310,2025,1,Couples,21,4.8
226,32,2023,9,Couples,59,3.4
227,480,2023,9,Couples,10,3.9
228,635,2022,6,Friends,21,4.1
229,191,2024,4,Solo,89,3.0
230,783,2024,11,Friends,96,3.7
231,407,2022,9,Couples,39,3.4
232,141,2023,4,Solo,70,4.2
233,515,2024,1,Friends,81,4.2
234,65,2024,10,Couples,81,3.9
235,544,2025,4,Couples,96,3.8
236,900,2024,3,Friends,88,4.1
237,993,2025,3,Family,49,3.7
238,1000,2025,3,Solo,13,2.4
239,592,2023,9,Couples,43,3.0
240,376,2024,9,Friends,22,3.1
241,519,2025,7,Family,78,3.8
242,126,2024,5,Couples,53,3.4
243,401,2022,5,Friends,6,3.3
244,59,2023,2,Family,33,3.7
245,19,2022,11,Business,86,4.2
246,141,2023,7,Family,84,3.7
247,526,2024,6,Family,87,3.8
248,202,2023,6,Family,17,3.6
249,412,2022,5,Couples,62,2.9
250,689,2024,11,Family,76,4.1
251,98,2024,2,Couples,89,3.9
252,939,2024,11,Business,55,3.8
253,230,2024,9,Business,20,5.0
254,367,2023,5,Business,66,4.7
255,835,2024,11,Friends,6,4.4
256,745,2025,11,Family,59,4.9
257,413,2022,3,Business,68,4.2
258,891,2025,2,Couples,22,4.0
259,284,2022,4,Solo,65,4.3
260,650,2022,10,Friends,36,3.8
261,262,2023,1,Family,48,3.2
262,756,2024,9,Family,85,4.6
263,271,2022,11,Friends,4,3.8
264,785,2022,9,Couples,43,3.7
265,212,2024,1,Friends,40,3.7
266,366,2024,2,Business,69,3.6
267,61,2024,10,Family,50,2.6
268,503,2023,6,Couples,10,4.7
269,164,2024,8,Couples,59,4.8
270,888,2023,8,Business,91,4.3
271,490,2022,6,Friends,81,4.4
272,865,2022,9,Business,54,3.5
273,187,2023,10,Couples,85,3.4
274,420,2024,12,Family,37,5.0
275,63,2025,11,Family,22,4.1
276,135,2024,6,Business,61,2.9
277,988,2022,7,Friends,79,3.8
278,614,2022,5,Friends,38,3.7
279,860,2023,7,Friends,21,3.7
280,964,2022,4,Solo,69,4.7
281,283,2023,7,Couples,56,3.6
282,856,2022,7,Couples,25,3.9
283,567,2022,4,Family,96,2.8
284,848,2022,5,Solo,97,3.3
285,6,2024,6,Family,35,4.0
286,76,2025,3,Family,87,4.0
287,895,2022,5,Family,86,3.3
288,624,2022,1,Friends,23,4.8
289,597,2022,6,Friends,66,4.1
290,414,2023,11,Friends,81,2.5
291,499,2023,10,Family,78,3.1
292,234,2024,7,Business,28,3.9
293,758,2023,12,Family,19,3.8
294,289,2022,3,Friends,62,4.0
295,936,2023,1,Couples,47,4.2
296,897,2022,1,Family,34,2.4
297,317,2024,8,Friends,29,3.5
298,305,2024,10,Family,67,2.9
299,821,2022,1,Solo,65,3.2
300,541,2023,12,Solo,32,5.0
301,822,2022,8,Friends,28,4.5
302,425,2023,9,Family,51,3.7
303,413,2024,2,Family,83,3.6
304,942,2022,8,Business,30,3.8
305,384,2023,8,Solo,48,4.4
306,292,2025,4,Family,79,2.2
307,685,2023,6,Family,82,3.0
308,694,2025,8,Business,78,3.3
309,574,2024,12,Friends,4,4.7
310,859,2024,2,Friends,30,4.5
311,561,2025,12,Business,9,2.6
312,314,2023,7,Friends,45,5.0
313,500,2024,5,Couples,81,3.2
314,92,2024,12,Couples,9,4.9
315,442,2025,7,Family,17,4.8
316,490,2023,10,Couples,86,3.5
317,445,2024,6,Couples,13,2.9
318,237,2023,12,Friends,59,4.0
319,395,2025,1,Family,79,3.7
320,791,2023,1,Couples,18,3.0
321,806,2023,3,Family,67,3.0
322,156,2023,11,Family,21,3.2
323,790,2024,5,Friends,74,4.3
324,838,2025,10,Friends,88,4.3
325,204,2025,8,Business,33,3.6
326,517,2025,2,Friends,60,4.1
327,217,2023,11,Family,56,3.5
328,77,2023,8,Couples,18,4.9
329,182,2025,11,Solo,38,4.6
330,480,2023,3,Solo,61,3.2
331,675,2024,1,Solo,95,3.7
332,508,2022,3,Business,48,3.8
333,415,2025,2,Friends,78,3.3
334,768,2024,3,Family,58,3.5
335,853,2024,9,Business,10,4.7
336,450,2022,11,Family,74,4.4
337,48,2024,8,Couples,83,4.8
338,191,2022,3,Family,59,2.7
339,562,2023,1,Family,4,3.8
340,288,2022,2,Couples,11,4.3
341,694,2025,7,Solo,82,3.4
342,571,2022,6,Couples,89,3.9
343,851,2025,7,Family,65,4.2
344,726,2022,2,Business,47,3.2
345,112,2024,11,Friends,33,4.1
346,222,2024,12,Family,38,4.1
347,94,2022,2,Family,13,4.1
348,538,2025,12,Couples,75,3.7
349,150,2025,8,Couples,20,3.9
350,439,2023,11,Couples,16,4.3
351,45,2024,8,Couples,59,3.2
352,511,2024,3,Business,73,4.5
353,234,2024,7,Family,81,3.6
354,309,2022,1,Solo,12,3.2
355,350,2024,11,Friends,29,3.0
