UserId,Continent,Country,City
1,South America,Brazil,Rio de Janeiro
2,North America,USA,New York
3,Europe,Spain,Madrid
4,North America,Mexico,Mexico City
5,Africa,South Africa,Johannesburg
6,Africa,Kenya,Mombasa
7,South America,Argentina,Buenos Aires
8,Australia,New Zealand,Queenstown
9,South America,Brazil,Rio de Janeiro
10,South America,Argentina,Buenos Aires
11,Australia,Australia,Melbourne
12,Asia,India,Jaipur
13,North America,Mexico,Mexico City
14,South America,Chile,Santiago
15,Australia,New Zealand,Auckland
16,Australia,Australia,Melbourne
17,South America,Brazil,Rio de Janeiro
18,Africa,South Africa,Cape Town
19,Africa,Egypt,Cairo
20,Europe,Germany,Berlin
21,South America,Argentina,Buenos Aires
22,Europe,Italy,Rome
23,Europe,France,Nice
24,South America,Chile,Santiago
25,South America,Chile,Santiago
26,South America,Brazil,Sao Paulo
27,North America,Canada,Toronto
28,South America,Argentina,Buenos Aires
29,South America,Argentina,Buenos Aires
30,Australia,New Zealand,Queenstown
31,Europe,Germany,Munich
32,Africa,South Africa,Johannesburg
33,Europe,Germany,Munich
34,Europe,Italy,Venice
35,Australia,Australia,Melbourne
36,Asia,Japan,Tokyo
37,Africa,Kenya,Nairobi
38,Africa,Kenya,Nairobi
39,South America,Brazil,Rio de Janeiro
40,Africa,South Africa,Cape Town
41,Asia,India,Jaipur
42,Asia,Singapore,Singapore
43,Asia,Singapore,Singapore
44,North America,Mexico,Cancun
45,North America,Mexico,Cancun
46,North America,USA,Los Angeles
47,Europe,France,Nice
48,Asia,Singapore,Singapore
49,South America,Argentina,Buenos Aires
50,Asia,Singapore,Singapore
51,Australia,New Zealand,Auckland
52,North America,Canada,Toronto
53,North America,USA,Las Vegas
54,Africa,South Africa,Johannesburg
55,North America,USA,New York
56,Europe,Spain,Madrid
57,Australia,Australia,Sydney
58,Asia,Thailand,Pattaya
59,Europe,Italy,Rome
60,North America,Mexico,Mexico City
61,Asia,Singapore,Singapore
62,Africa,Kenya,Nairobi
63,Africa,South Africa,Cape Town
64,Africa,Egypt,Luxor
65,North America,Mexico,Mexico City
66,South America,Argentina,Buenos Aires
67,Europe,France,Nice
68,Asia,India,Mumbai
69,South America,Argentina,Buenos Aires
70,Australia,Australia,Melbourne
71,Europe,Spain,Barcelona
72,Asia,Thailand,Phuket
73,Asia,India,Delhi
74,North America,Canada,Toronto
75,South America,Brazil,Rio de Janeiro
76,North America,Mexico,Mexico City
77,North America,USA,Los Angeles
78,Africa,Egypt,Cairo
79,Europe,Germany,Munich
80,North America,Canada,Vancouver
81,Asia,Singapore,Singapore
82,Asia,Japan,Tokyo
83,Europe,Germany,Munich
84,Australia,Australia,Melbourne
85,North America,USA,New York
86,Asia,Singapore,Singapore
87,Asia,Thailand,Bangkok
88,Europe,Italy,Venice
89,Africa,Egypt,Cairo
90,North America,Canada,Vancouver
91,Africa,Kenya,Mombasa
92,Australia,New Zealand,Auckland
93,South America,Chile,Santiago
94,North America,Mexico,Cancun
95,Australia,New Zealand,Auckland
96,South America,Argentina,Buenos Aires
97,Australia,New Zealand,Auckland
98,Asia,India,Goa
99,North America,Canada,Vancouver
100,Africa,South Africa,Johannesburg
101,South America,Chile,Santiago
102,South America,Chile,Santiago
103,Europe,Spain,Madrid
104,North America,Mexico,Mexico City
105,Asia,India,Goa
106,Europe,Germany,Berlin
107,North America,USA,New York
108,Europe,Spain,Madrid
109,Australia,New Zealand,Auckland
110,South America,Argentina,Buenos Aires
111,Asia,Singapore,Singapore
112,South America,Brazil,Sao Paulo
113,Asia,Singapore,Singapore
114,Australia,New Zealand,Auckland
115,Africa,South Africa,Cape Town
116,Asia,India,Jaipur
117,North America,Mexico,Mexico City
118,Australia,New Zealand,Auckland
119,South America,Chile,Santiago
120,Asia,Singapore,Singapore
121,South America,Argentina,Buenos Aires
122,South America,Argentina,Buenos Aires
123,North America,Canada,Toronto
124,North America,USA,New York
125,Europe,Germany,Munich
126,Europe,Italy,Venice
127,North America,USA,New York
128,South America,Brazil,Sao Paulo
129,Asia,Japan,Tokyo
130,South America,Chile,Santiago
